"wflow_id",".config",".metric","mean","std_err","n","preprocessor","model","rank"
"Desbalanceada_XGBoost","Preprocessor1_Model1","accuracy",0.8642418955021585,9.46532682618539e-4,10,"recipe","boost_tree",1
"Desbalanceada_XGBoost","Preprocessor1_Model1","roc_auc",0.8989003649859924,9.542323607382254e-4,10,"recipe","boost_tree",1
"Desbalanceada_XGBoost","Preprocessor1_Model1","sensitivity",0.944528688047457,6.633576960383774e-4,10,"recipe","boost_tree",1
"Desbalanceada_XGBoost","Preprocessor1_Model1","specificity",0.5434842554734576,0.0036947901123301997,10,"recipe","boost_tree",1
"Desbalanceada_C50","Preprocessor1_Model1","accuracy",0.8641044793081548,7.878921002574159e-4,10,"recipe","boost_tree",2
"Desbalanceada_C50","Preprocessor1_Model1","roc_auc",0.8978962173505572,8.84288204323234e-4,10,"recipe","boost_tree",2
"Desbalanceada_C50","Preprocessor1_Model1","sensitivity",0.9490561271278906,7.330270676276775e-4,10,"recipe","boost_tree",2
"Desbalanceada_C50","Preprocessor1_Model1","specificity",0.5247099649570882,0.003634617956885088,10,"recipe","boost_tree",2
"Smote_XGBoost","Preprocessor1_Model1","accuracy",0.8634174486403092,9.807247219120242e-4,10,"recipe","boost_tree",3
"Smote_XGBoost","Preprocessor1_Model1","roc_auc",0.8972540646438473,0.001076579374185222,10,"recipe","boost_tree",3
"Smote_XGBoost","Preprocessor1_Model1","sensitivity",0.94279044559630365,5.501045097567986e-4,10,"recipe","boost_tree",3
"Smote_XGBoost","Preprocessor1_Model1","specificity",0.5463107438189012,0.004356055554725341,10,"recipe","boost_tree",3
"Desbalanceada_Random Forest","Preprocessor1_Model1","accuracy",0.860539987305622,9.470584163030543e-4,10,"recipe","rand_forest",4
"Desbalanceada_Random Forest","Preprocessor1_Model1","roc_auc",0.8919839680510108,8.452566574989954e-4,10,"recipe","rand_forest",4
"Desbalanceada_Random Forest","Preprocessor1_Model1","sensitivity",0.957939214623392,4.327975592986289e-4,10,"recipe","rand_forest",4
"Desbalanceada_Random Forest","Preprocessor1_Model1","specificity",0.4714153410080332,0.003978735916993766,10,"recipe","rand_forest",4
