OBJECTID,Identificador de la manzana catastral,Clase de predio predominante,Grupo económico predominante,Avalúo catastral por manzana ($),Observación,GLOBALID,coord_x,coord_y
63,004408026,N,RESIDENCIAL,1446587,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{6DB74995-E40C-4325-A493-792AF84141D7},"-74,12964715498671","4,6065358014580235"
77,006107020,N,BODEGAS,2181607,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{25C99D9F-F520-4759-A252-36F2FD733072},"-74,08999083558925","4,614945120154417"
97,006107001,N,OTROS,1655884,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{38FF09FE-B5A2-4ED0-9ACA-2C177FB2DC0E},"-74,08401298990447","4,616170142654149"
157,004208042,N,BODEGAS,1492492,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{49E3EAEB-0F2D-469F-9B76-7C401807230D},"-74,09603322150757","4,620228211805395"
257,004404061,N,LOTES,155182,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{C1170F6A-43B2-4F2D-B6BF-DA7216AC1BC8},"-74,12295358862262","4,603264403887667"
303,004402005,N,RESIDENCIAL,1483862,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{C2CB65D4-6F58-4D19-9FC2-3E8F6A2A9A30},"-74,11337450110632","4,601639117091909"
336,004402040,N,RESIDENCIAL,1299041,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{63DD7B47-CBFB-4D8B-B4BD-6F69CB2A0EB2},"-74,1106349333043","4,598932663670068"
354,004308042,N,RESIDENCIAL,1515394,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5C9BBC7B-C258-4200-AB11-78F83FC61FCD},"-74,11624273899085","4,622608210359372"
382,004402018,N,RESIDENCIAL,1516366,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{0B9E591F-E765-4D16-A0C2-2BC63E575D29},"-74,11606980305241","4,603712613530087"
390,004402025,N,RESIDENCIAL,1219381,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{673235DF-0E96-4B1D-84BB-5E124B9CC67F},"-74,1165865424472","4,604893893870963"
415,004405017,N,RESIDENCIAL,1784461,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{D97DF32F-04D9-42FB-AB2D-7E44435520FA},"-74,13024722017899","4,5968490654953795"
438,004402034,N,RESIDENCIAL,1628737,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{DD55C47A-FD43-43B1-9F6E-1551FBF54DC4},"-74,10944247586332","4,598956071729641"
448,004405026,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{515DB0FB-929F-4F5D-8F92-091F49A120A6},"-74,1314990124856","4,596080237251579"
453,004405023,N,LOTES,1121869,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A78DEAC0-A42D-4DFA-BE85-D0328574FC6E},"-74,13060720215114","4,597174399549644"
472,004309023,N,RESIDENCIAL,1496000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{7154F94D-C8C0-4B78-A30F-1C8F3E0C9563},"-74,11867357031747","4,609716069033299"
473,006212013,N,OFICINAS,1955000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{C589C31E-CA28-4072-954D-F44B069F56FF},"-74,11801615082406","4,632007492683493"
476,004305012,N,UNIVERSIDADES Y COLEGIOS,1037034,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{4A5DD80B-FDDB-4687-A9F0-D241434D96A1},"-74,12232853086931","4,623521321922353"
484,004402069,N,RESIDENCIAL,1540052,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{77D61DBB-BEE2-47AE-862A-D213FF55E813},"-74,1153207641234","4,601005674823815"
488,004405080,N,LOTES,675000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9724409F-B043-4DAA-A2FA-B6FA06235754},"-74,13117930020888","4,594440176245639"
505,004413031,N,RESIDENCIAL,1125121,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{4A6A4192-CB09-47E5-9A03-DF458A9B5C67},"-74,12110871806748","4,5955088920865865"
508,004403014,N,RESIDENCIAL,1254039,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{51E86533-6C04-4C91-AD59-7008CA88B46D},"-74,12105267750644","4,600568288469562"
509,004403011,N,RESIDENCIAL,1383485,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F00CB6C6-0AFC-4029-A802-34FFDEB33633},"-74,1220565459078","4,600982750100638"
514,004402054,N,LOTES,1031604,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CE34AF8B-4002-4AD7-9F30-04C1B3FFE616},"-74,10972655247818","4,598370048072922"
534,003101020,N,OTROS,1614293,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{BADC3CA6-E7BE-4A51-B02B-AA07CFBEC485},"-74,07380403368325","4,6090239063825145"
553,004413012,N,COMERCIO,2691338,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{DBD54AE4-4AAF-4887-9480-F4AAD64A2E18},"-74,11427442126286","4,596602937873233"
558,004310006,N,RESIDENCIAL,1609421,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{E236CEBD-81AD-4E65-9052-C4DD0CB56799},"-74,12698504325942","4,612087076553484"
567,004317004,N,RESIDENCIAL,1395195,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5F1FD34D-E585-4897-92B0-77DFBD1F24F3},"-74,12082043091137","4,613023109790142"
571,004403041,N,RESIDENCIAL,1345698,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F442C30A-3471-48C5-964E-A211B97B0DF0},"-74,12248240842182","4,596039662443194"
599,004402049,N,RESIDENCIAL,1547169,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5265E934-6AA2-41B1-893F-FCD0548C9D92},"-74,11219838762659","4,601841177111456"
612,004406052,N,RESIDENCIAL,1735865,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{219C211E-ED28-4F1C-A6D1-8F2C81B046E8},"-74,1300694935007","4,600664732738747"
