"","property_id","city","price","month","year","surface_total","surface_covered","rooms","bedrooms","bathrooms","property_type","operation_type","title","description","balcony","garage","geometry","distancia_parque","area__parque","distancia_parque_infatil","distancia_hospital","distancia_clinica","distancia_estacion_bus","distancia_policia","distancia_colegio","distancia_mercado"
"1","2d2f627f2a73cd6ace7e6dab","Bogotá D.C",480000000,8,2021,NA,NA,4,4,3,0,"Venta","se vende apartamento en galerias","se vende lindo apartamento 3y4 piso remodelado exterior en galerias","0","0",c(-74.063051, 4.649258),638.086657471023,4180.64713604209,638.086657471023,397.90109031335,620.099738706527,228.425723733563,137.210874146358,396.419687714713,1105.59485273183
"2","27d8e55a6032d210885fdd4c","Bogotá D.C",1400000000,7,2021,227,NA,3,3,1,0,"Venta","apartamento en en rosales calle 81","excelente oportunidad para remodelar espectacular apartamento en los rosales 227 mts mas 13 mts distribuidos en dos terrazas segundo piso exterior dos parqueaderos un deposito tres habitaciones cada una con bano privado banos social bano de servicio un estudio dos salas comedor independiente zona de lavanderia independiente cocina con isla excelente oportunidad informes x","1","1",c(-74.0486934, 4.6614416),95.9184710514476,2048.3429984337,95.9184710514476,1164.43233990573,1162.94242282136,1405.40101815135,591.483513822623,412.424684325179,2937.84428159674
"3","84a9da9d84b975bcd0954c36","Bogotá D.C",749000000,7,2021,86,NA,2,2,1,0,"Venta","apartamento en refugio 87 exterior","apartamento en en chico refugio de 86 m2 en segundo piso exterior con balcon 2 habitaciones la principal con bano privado bano de alcobas y bano social sala comedor con chimenea y balcon cocina abierta tipo americano zona de lavanderia independiente parqueadero y deposito gym salon comunal zona infantil y terraza panoramica con bbq informes x","1","1",c(-74.0447616577, 4.667227244),203.290598084418,392.666068652185,203.290598084418,1290.00579016206,1325.07755833211,1714.84967832926,674.742951796588,205.096820278284,2726.40120596261
"4","b8cfaa53d82564bf7572175a","Bogotá D.C",1200000000,8,2021,10,NA,3,3,4,0,"Venta","apartamento serramonte pm","hermoso apartamento carrera 6 con calle 125 ideal para remodelar apartamento ubicado en el 10mo piso con ascensor privado directo apto hall de entrada sala cuenta con chimenea comedor y estudio bano social cocina integral con comedor auxiliar zona de lavanderia cuarto y bano de servicio puerta de salida a las escaleras de emergencia el apartamento cuenta con sistema automatico de encendido y pagado de luces 2 parqueaderos cubiertos en linea deposito el conjunto cuenta con planta de reserva de energia y tanques de almacenamiento de agua red de gas natural vigilancia y supervisor de seguridad las 24 horas camaras de seguridad y acceso al conjunto y cada torre con huella dactilar o token","0","1",c(-74.0486884117, 4.66167742),114.855749740874,2048.3429984337,114.855749740874,1148.23357660899,1146.521506463,1402.98804690155,617.675387624916,387.239924634458,2949.08985713009
"5","e2fe4b0fc492998f3ec0480f","Bogotá D.C",1250000000,7,2021,NA,NA,3,3,NA,0,"Venta","apartamento en el refugio bogota 22273 rah co x","en hermoso apartamento totalmente remodelado en el refugio chapinero bogota impresionantes vistas muy soleado e iluminado con acabados de primera calidad amplia cocina abierta con gabinetes de tecnologia alemana banos italianos cuarto de lavado cerrado tres habitaciones cada uno con baa o privado mas habitacion y bano de servicio lamparas de cristal de murano","0","0",c(-74.043268, 4.666951),365.194237965555,392.666068652185,365.194237965555,1458.36229874269,1492.70579431117,1831.8844651193,834.688311347382,372.947534200191,2577.65972472767
"6","448a92b57eaf63a17114c62b","Bogotá D.C",600000000,7,2021,NA,NA,2,2,NA,0,"Venta","espectacular apartamento la soledad","acogedor y calido apartamento con amplios espacios y vista exterior ubicacion privilegiada zona de alta izacion a escasos metros de la calle 45 park way avenida nqs cerca a universidad nacional centro comercial galerias carulla park way tranquilidad y seguridad en su entorno excelentes acabados tina en bano principal cocina tipo americano cita previa","0","0",c(-74.0609706, 4.6417567),165.638332454002,874.842124244041,165.638332454002,683.495072208956,175.18842377941,556.434421520674,473.216496911258,497.030394051673,1176.31323868687
"7","ab7452883b1d217669becc03","Bogotá D.C",890000000,8,2021,142,NA,3,3,3,0,"Venta","apartamento duplex en en la ciudad de bogota sector de chico","area 142mts2 consta de 3 habitaciones 2 banos 2 parqueaderos en linea cuarto de servicio con bano sala comedor cocina integral con barra tipo americana deposito y zona de lavanderia en edifico que cuenta con porteria recepcion salon comunal gimnasio turco sauna y jacuzzi vias de acceso facil restaurantes centros comerciales colegios universidades zona residencial zonas verdes y empresarial","0","1",c(-74.0559625626, 4.6853093138),528.081360265514,2943.01644597453,528.081360265514,221.496215508453,76.4562011908697,186.641903651602,1142.50618088978,416.61140855463,1358.20369485826
"8","8d55a4727b11e756011653de","Bogotá D.C",780000000,11,2020,167,NA,NA,4,2,1,"Venta","casa en bogota chapinero occidental","excelente casa de 167 mtrs2 construidos esta en un lote de 204 mtrs2 con 730 mtrs de frente por 28 mtrs de fondo la casa esta construida en 2 pisos la casa cuenta con 2 locales amplios en el primer piso y 2 apartamentos pequenos cada apto con 2 habitaciones 1 bano cocina sala comedor la casa esta muy bien ubicada tiene muy buenas vias de acceso y actualmente tiene un promedio de renta mensual de x","0","0",c(-74.0581187, 4.6506311),872.109375013489,358.112957457955,872.109375013489,364.353482944697,657.427165950481,721.408786441869,433.264016458915,159.596536949555,1640.31503555485
"9","80dfe146475acbcd85bba8eb","Bogotá D.C",700000000,7,2021,367,NA,1,1,NA,0,"Venta","apartaestudio duplex ed piscina terraza chico","apartaestudio amoblado con servicios incluidos duplex tipo loft en edificio con piscina y terraza comunal cancha de squash gimnacio zona humeda en chico norte 367m canon xxx cop administracion incluida disponible a partir del 1 de noviembre apartaestudio amoblado duplex tipo loft chico norte 3 bogota zonanorte colombia hermoso apartamento duplex tipo loft 67mts con administracion incluida area social en el primer piso bano social area de ropas sala comedor cocina area privada en el segundo piso bano closet habitacion puerta na semi balcon chimenea funcional lobby muy moderno tipo hotel con recepcion drive thru parqueadero de visitantes piscina climatizada jacuzzi turco sauna gimnasio sala de juntas salon de reuniones cancha de squash terraza comunal con asador y teppanyaki hermosa vista 360 banda en la terraza para caminar jardines naturales","1","1",c(-74.0537269, 4.6852987),403.131180604825,2691.9037506456,403.131180604825,55.2477353248708,145.959541911278,97.0003617636273,1153.06120274619,222.12759250112,1181.79174782994
"10","f834d1b37536ec6bcc649f0a","Bogotá D.C",334000000,7,2021,77,NA,3,3,2,0,"Venta","apartamento en en normandia","apartamento en en normandia apartamento de 77m2 con vista interior ubicado en un 3er piso acceso por escaleras parqueadero propio cubierto y deposito consta de 3 habitaciones 2 banos sala comedor cocina integral y zona de lavanderia tiene piso laminado en habitaciones y zona social y ceramico en banos y cocina el edificio cuenta con 2 terrazas salon comunal y vigilancia privada las 24 horas cerca de centro comercial gran estacion y centro empresarial el dorado cerca de almacenes de cadena como exito olimpica ara y d1 cerca a colegio republica de colombia y marco tulio fernandez cerca a estacion de transmilenio normandia vias de acceso por la av boyaca y av calle 53 administracion xxx de xxx si desea mayor informacion de este y otros inmuebles comunicate al x","1","1",c(-74.0629731, 4.6394206),503.225447835403,29.8287296228077,503.225447835403,341.833544982129,66.2678823446103,477.393450677622,717.024796786725,177.870862065579,836.417121369855
