OBJECTID,NUMERO ESTACION,NOMBRE ESTACION,COORDENADA X,COORDENADA Y,UBICACION ESTACION,TRONCAL,NUMERO VAGONES,NUMERO ACCESOS,BICIESTACION,CAPACIDAD BICIESTACION,TIPO ESTACION,BICIPARQUEADERO ESTACION,LATITUD,LONGITUD,globalid,created_user,created_date,last_edited_user,last_edited_date,NODO ESTACIÓN,COMPONENTE WIFI,COMPONENTE APLIFICACION,shape,log_replica,coord_x,coord_y
116,07001,Perdomo,990294.728,999953.6265,AutoSur-Kr78C,NQS,2,1,0,0,4,0,4.59577569,-74.16497116,{61AAA51C-F036-4D99-B895-E3DCA2F52D47},,,,,7001,Valor SI al campo,,,,"-74,16497116404508","4,595775688461351"
87,09110,AV. Jiménez - CL 13,999822.3829,1000757.208,Calle 13 - caracas,Americas,3,2,0,0,3,0,4.60304793,-74.07910861,{F4282057-CEBC-431E-9178-602615311D01},,,,,14003,Valor SI al campo,,,,"-74,07910860667516","4,603047930690347"
71,09110,AV. Jiménez - Caracas,999675.9713,1000737.972,Calle 13 - Calle 11,Caracas,4,2,0,0,3,0,4.60287397,-74.08042807,{D830EF50-FC3D-416D-BE9A-9A13550841A3},,,,,9110,Valor SI al campo,,,,"-74,0804280711814","4,602873973235998"
68,06109,Centro Memoria,1000132.6346,1002683.3122,Carrera 20,Calle 26,2,2,0,0,4,0,4.6204659,-74.07631258,{3A8FC876-3240-4479-A039-BA81B3CB79A5},,,,,6109,Valor SI al campo,,,,"-74,07631258102239","4,620465899199068"
51,02105,Calle 142,1002995.2739,1014447.6377,Calle 142,Autonorte,4,1,0,0,4,0,4.72685125,-74.0505097,{B8FA9F6E-B702-48E9-A7C4-8D464CE71AE8},,,,,2105,Valor NO al campo,Valor SI al campo,,,"-74,0505097017688","4,726851250268016"
146,09003,Socorro,994666.2537,996512.182,Carrera 16B - Carrera 14A,Caracas,2,2,0,0,4,0,4.56465807,-74.12557321,{21385525-A7DE-4947-84C5-13B47354EA84},,,,,9003,Valor SI al campo,,,,"-74,12557320903738","4,56465806509602"
80,07108,AV. El Dorado,999738.3359,1003810.9144,Kr 30 Av 28,NQS,1,1,0,0,4,0,4.63066292,-74.07986613,{EBEED4AA-E9B3-4611-AC61-439982EF993F},,,,,7108,Valor SI al campo,,,,"-74,0798661316369","4,6306629204487475"
70,09002,Consuelo,994855.3348,996021.9462,Carrera 11A - Carrera 10C,Caracas,2,1,0,0,4,0,4.56022492,-74.12386901,{46642201-C25D-4425-9680-AA6CDE85E4D4},,,,,9002,Valor SI al campo,,,,"-74,12386901231737","4,560224917444383"
52,02000,Portal del Norte,1003491.5788,1017518.5086,Calle 173,Autonorte,0,0,0,0,1,0,4.75462117,-74.04603495,{86D54933-E9CE-4439-80CE-E9C36D930A61},,,,,2000,Valor SI al campo,Valor SI al campo,,,"-74,04603494939784","4,7546211715900295"
132,07113,Santa Isabel,997214.4724,1000604.5699,Kr 30 Av 3,NQS,2,1,0,0,4,0,4.60166717,-74.10261112,{503F366F-6753-4C5A-8410-3F44C414437B},,,,,7113,Valor SI al campo,,,,"-74,10261111598875","4,6016671666316125"
84,07109,CAD,999261.073,1003008.9268,Kr 30 Cl 26,NQS,2,2,0,0,4,0,4.62341044,-74.08416734,{C3B3D9F4-C30B-459D-9496-AA9CBFE450E1},,,,,7109,Valor SI al campo,,,,"-74,08416733604143","4,623410435957558"
92,02303,Calle 85,1001982.479,1008416.9027,Calle 85,Autonorte,4,1,0,0,4,0,4.6723151,-74.05964002,{7BA12C0B-3FAD-4085-B1B6-464E608E6DBE},,,,,2303,Valor SI al campo,Valor SI al campo,,,"-74,05964002315534","4,67231509821618"
101,05105,Pradera,995432.3612,1003575.4478,Av. Americas -Carrera 64,Americas,4,1,1,32,4,1,4.62853238,-74.11867306,{3B9CE75E-1813-4DC2-A5A2-ED420A7C1FE8},,,,,5105,Valor SI al campo,,,,"-74,11867306335716","4,628532378239349"
69,12001,Carrera 43,997347.0895,1002942.0369,Av. Americas -Carrera 43,Americas,2,2,0,0,4,0,4.62280517,-74.10141668,{8B902060-2234-4052-97FC-567C92F0BCA5},,,,,12001,Valor SI al campo,,,,"-74,10141667642509","4,622805171464127"
115,06002,Normandía,996033.2243,1008052.7496,carrera 73a,Calle 26,4,1,0,0,4,0,4.66902134,-74.11325992,{B275FCA6-2E77-4A22-9003-1161B048A9D3},,,,,6002,Valor SI al campo,,,,"-74,11325991791793","4,669021344691325"
114,09108,Hospital,999033.2565,999872.2984,Calle 4 - Calle 2,Caracas,2,1,0,0,4,0,4.59504554,-74.08622014,{ABE53C55-F997-4ABC-AD34-4862B94D9A81},,,,,9108,Valor SI al campo,,,,"-74,08622013742381","4,595045543573756"
60,02103,Mazurén,1003138.5941,1015302.8731,Calle 152,Autonorte,5,1,0,0,4,0,4.73458516,-74.04921756,{262E5208-C370-4DA5-B1C4-0B10C3B95A4E},,,,,2103,Valor NO al campo,Valor NO al campo,,,"-74,04921755633052","4,734585157440828"
97,09103,Olaya,996687.3113,998087.9086,Calle 24 Sur - Calle 27 Su,Caracas,2,1,0,0,4,0,4.57890853,-74.10736095,{AEBA47DB-9C7D-4B64-9F4A-86D39A23ED2A},,,,,9103,Valor SI al campo,,,,"-74,10736095035001","4,578908533450647"
112,10004,Policarpa,998955.4783,998900.443,Kra 10- Cl3 sur,Cr 7-10,2,2,0,0,4,0,4.58625694,-74.08692095,{6DF3987A-1ADB-446F-9067-84D61FE50A49},,,,,10004,Valor SI al campo,,,,"-74,08692095362728","4,586256936532831"
108,07000,Portal del Sur,989803.5272,1000090.4772,AutoSur-Kr 82,NQS,0,0,1,220,1,1,4.59701269,-74.16939799,{42FCD157-1F16-4F6B-8774-07E3EDDD3B5F},,,,,7000,Valor SI al campo,,,,"-74,1693979868057","4,597012685948983"
22,06100,AV. Rojas,996532.471,1007271.0248,Calle 26-Carrera 69 d,Calle 26,6,1,1,104,4,1,4.66195235,-74.10875996,{0FD19B6E-AF0B-4272-8D5D-DD4079F93370},,,,,6100,,,,,"-74,10875996429792","4,66195234981033"
59,02205,Calle 106,1002366.4862,1010702.2829,Calle 106,Autonorte,4,1,0,0,4,0,4.6929819,-74.05617838,{84C06C47-28B9-4B5F-B730-83BFF7ED12DF},,,,,2205,Valor NO al campo,Valor NO al campo,,,"-74,0561783771686","4,692981897821361"
135,09101,Quiroga,995908.7432,997854.3104,Calle 31 Sur - Calle 32 Su,Caracas,2,1,0,0,4,0,4.57679575,-74.11437708,{BE492F02-40C8-4F4C-9B28-AC9DB7A0AF7B},,,,,9101,Valor SI al campo,,,,"-74,11437708157136","4,576795750932713"
65,14001,De La Sabana,999513.5752,1001020.7305,Calle 13 - Carrera 16,Americas,2,2,0,0,4,0,4.60543098,-74.0818916,{84C171AA-B203-4DB5-8517-54E2C91131A7},,,,,14001,Valor SI al campo,,,,"-74,08189160442666","4,605430981830611"
127,03000,Portal de Suba,998139.4242,1016655.2375,Av Suba Av C. Cali,Suba,0,0,1,324,1,1,4.74681506,-74.09427889,{FE62F830-742F-43FE-8689-225325CA6CF8},,,,,3000,Valor SI al campo,,,,"-74,0942788928034","4,746815064031737"
124,04101,Minuto de Dios,998449.6291,1011108.396,Carrera 73 A,Calle 80,1,1,0,0,4,0,4.6966546,-74.09148174,{2C99DD9E-CDF5-404D-A308-862E8F38F0D9},,,,,4101,Valor SI al campo,,,,"-74,09148174448973","4,696654599591067"
98,09001,Molinos,995081.1436,995671.889,Carrera 9A,Caracas,2,2,0,0,2,0,4.55705944,-74.12183395,{73AE7786-CEBB-45E3-BE44-E44E0555A801},,,,,9001,Valor SI al campo,,,,"-74,12183394517574","4,557059437228247"
149,07004,Venecia,992771.6106,999930.2974,AutoSur-Av 54,NQS,2,1,0,0,4,0,4.59556711,-74.14264966,{1232BDBD-D8A6-4583-8226-9E58769A72DF},,,,,7004,Valor SI al campo,,,,"-74,14264965974506","4,5955671110055"
73,09113,Calle 22,1000313.3967,1001713.3716,Calle 24 - Calle 22,Caracas,3,2,0,0,4,0,4.61169462,-74.07468354,{53BBF0CB-532C-4779-ABF6-E217F4222C52},,,,,9113,Valor SI al campo,,,,"-74,0746835431877","4,6116946183505645"
